localidade;data;visibilidade;faixa_bat;prof_interface_min;prof_interface_max;metodo;observador;tempo_geo;geo_cat;iar_geo;n_trans_vis;geo_id;obs
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;4;mp;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;5;mp;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;6;mp;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;7;mp;2;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;1;gc;2;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;2;gc;4;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;3;gc;4;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;4;gc;6;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;5;gc;4;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;6;gc;2;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;7;gc;4;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;1;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;2;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;3;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;4;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;5;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;6;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;7;rpm;10;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;1;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;2;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;3;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;4;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;5;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;6;lg;0;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Thiago_Silveira/ Andrea_Dalben/ Dan_Jacobs;7;lg;2;7;65;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;1;tf;4;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;2;tf;4;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;3;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;4;tf;4;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;5;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;6;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;7;tf;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;8;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;9;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;10;tf;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;11;tf;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;1;mp;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;2;mp;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;3;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;4;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;5;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;6;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;7;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;8;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;9;mp;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;10;mp;2;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;11;mp;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;1;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;2;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;3;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;4;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;5;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;6;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;7;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;8;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;9;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;10;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;11;gc;0;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;1;rpm;6;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;2;rpm;8;11;66;conferir_palnilha de campo
xavier;16/01/2024;10;raso;6;16;scuba;Ricardo_Scherer/ Samuel_Melo/ Bianca_Espindula;3;rpm;10;11;66;conferir_palnilha de campo
